State,Private,Proprietary,Public,Difference,,State,State
Vermont,49.77768,1.6705,48.55182,1.22586,,Alaska,AK
Missouri,46.53192,8.69084,44.77724,1.75468,,Alabama,AL
Connecticut,41.16482,20.87342,37.96174,3.20308,,Arkansas,AR
Illinois,38.40378,30.14986,31.44636,6.95742,,Arizona,AZ
New Hampshire,51.63562,5.4037,42.9607,8.67492,,California,CA
Iowa,24.92448,38.10648,36.96904,12.04456,,Colorado,CO
Pennsylvania,50.255,11.62506,38.11992,12.13508,,Connecticut,CT
Virginia,38.27584,10.74196,50.98224,12.7064,,Delaware,DE
Nebraska,42.21008,2.84052,54.94942,12.73934,,Florida,FL
California,29.06252,27.64818,43.28928,14.22676,,Georgia,GA
Florida,31.56364,21.3766,47.05978,15.49614,,Hawaii,HI
Utah,32.73304,17.97832,49.28862,16.55558,,Iowa,IA
Maine,38.64162,5.71026,55.64814,17.00652,,Idaho,ID
Tennessee,34.15406,10.92694,54.91902,20.76496,,Illinois,IL
New York,55.67504,10.04712,34.27786,21.39718,,Indiana,IN
Minnesota,15.94092,45.81756,38.24152,22.3006,,Kansas,KS
Arizona,0.68956,75.55782,23.7526,23.06304,,Kentucky,KY
Delaware,35.83412,4.74034,59.42554,23.59142,,Louisiana,LA
Indiana,20.28138,30.18472,49.5339,29.25252,,Massachusetts,MA
Rhode Island,62.92758,4.3968,32.67558,30.252,,Maryland,MD
Georgia,22.96082,16.20666,60.83256,37.87174,,Maine,ME
Ohio,27.24958,6.55398,66.19644,38.94686,,Michigan,MI
Massachusetts,67.78006,3.5963,28.62366,39.1564,,Minnesota,MN
Wisconsin,26.07178,6.79724,67.13098,41.0592,,Missouri,MO
North Carolina,27.33488,4.25518,68.40992,41.07504,,Mississippi,MS
Wyoming,23.3815,25.65726,64.99016,41.60866,,Montana,MT
Washington,24.9068,7.56262,67.5306,42.6238,,North Carolina,NC
Oregon,24.5688,7.67646,67.75474,43.18594,,North Dakota,ND
Colorado,12.75864,30.94706,56.29428,43.53564,,Nebraska,NE
Michigan,24.93802,4.69844,70.36356,45.42554,,New Hampshire,NH
New Jersey,20.52224,13.07522,66.40254,45.8803,,New Jersey,NJ
Kansas,22.0977,8.38524,69.51704,47.41934,,New Mexico,NM
South Dakota,11.15914,29.80188,59.039,47.87986,,Nevada,NV
West Virginia,10.62048,28.19884,61.18068,50.5602,,New York,NY
Louisiana,19.26352,9.90814,70.82834,51.56482,,Ohio,OH
Kentucky,18.42316,11.54346,70.03336,51.6102,,Oklahoma,OK
Idaho,21.40808,5.47806,73.11386,51.70578,,Oregon,OR
Hawaii,22.82164,2.4162,74.76214,51.9405,,Pennsylvania,PA
Maryland,20.2465,7.48604,72.26744,52.02094,,Rhode Island,RI
Alabama,14.57406,17.64796,67.77798,53.20392,,South Carolina,SC
Oklahoma,17.0476,8.65146,74.30092,57.25332,,South Dakota,SD
South Carolina,19.25232,3.76526,76.98242,57.7301,,Tennessee,TN
Texas,15.94214,9.96026,74.09758,58.15544,,Texas,TX
Nevada,14.40282,10.36434,75.23284,60.83002,,Utah,UT
Mississippi,15.96524,0.93172,83.10304,67.1378,,Virginia,VA
Arkansas,13.62862,2.34012,84.03126,70.40264,,Vermont,VT
North Dakota,13.9579,1.62088,84.4212,70.4633,,Washington,WA
Alaska,4.04644,19.66122,76.29232,72.24588,,Wisconsin,WI
Montana,9.4309,1.45164,89.11746,79.68656,,West Virginia,WV
New Mexico,2.83802,5.26728,91.89472,89.0567,,Wyoming,WY